clim_div,Year,January,February,March,April,May,June,July,August,September,October,November,December
0101,1895,0.96,-2.06,0.56,-0.96,-0.63,0.15,0.12,0.23,0.12,-0.3,-1.25,0.28
0101,1896,-1.26,0.99,0.25,-0.08,-0.71,0.38,-0.38,-1.19,-0.27,-0.73,0.97,-2.29
0101,1897,-0.43,-0.36,2.36,0.2,-0.74,-1.22,-0.28,0.03,-2.1,-0.63,-1.04,1.08
0101,1898,0.87,-2.15,-0.47,-0.11,-1.35,-0.77,0.63,0.04,-0.19,0.4,-0.2,-1.29
0101,1899,0.42,0.67,1.35,-0.79,-1.58,-1.12,0.89,-0.1,-1.64,-0.56,-0.01,0.74
0101,1900,-0.54,0.15,-0.59,1.99,-0.2,2.87,0.16,-0.93,-0.22,1.36,-0.26,-0.8
0101,1901,0.21,-0.91,-0.34,0.11,0.01,0.02,-1.16,3.09,1.18,-1.16,-1.26,0.51
0101,1902,0,-0.39,0.87,-1.04,-1.61,-0.43,-0.98,-0.53,0.52,-0.13,0.79,0.3
0101,1903,-0.34,1.68,-0.19,-0.41,0.79,0.35,-0.53,0.26,-1.6,-0.3,-0.15,-0.64
0101,1904,-1.14,-2.01,0.44,-0.75,-0.23,-0.45,0.39,-0.7,-0.76,-1.83,-0.35,0.24
0101,1905,-0.17,0.72,-0.69,-0.41,0.42,1.23,-0.47,0.48,0.07,1.33,-1.66,0.05
0101,1906,0.08,-2.08,0.31,-1.83,-0.28,-0.6,1.97,-0.7,1.86,0.57,-0.18,-0.27
0101,1907,-1.38,0.08,-0.76,-0.01,1.7,-0.04,0.08,-0.8,1.17,-0.49,0.41,-0.36
0101,1908,-0.31,0.55,-0.2,0.13,0.94,0.22,-0.58,-0.13,-0.31,-1.2,-1.35,0.51
0101,1909,-0.99,1.34,0.23,0.67,0.8,1.29,0,-1.31,-0.22,-0.08,-1.23,-0.3
0101,1910,-0.17,0.19,-3.09,-0.94,0.67,1.25,1.29,-1.33,-0.56,0.51,-1.31,-0.41
0101,1911,0.01,0.23,-1.52,2.25,-1.09,0.11,1.05,1.05,-0.58,0.55,-0.02,1.72
0101,1912,-0.18,-0.19,1.26,1.55,0.47,0.07,0.99,1.06,0.05,-0.43,-1.52,0.61
0101,1913,1.44,0.29,0.03,-1.35,-0.14,0.35,-1.04,-0.8,0.64,-0.22,-1.72,-0.79
0101,1914,-1.91,-0.21,-0.49,-0.04,-1.27,-0.85,-0.63,0.72,-0.43,-0.21,-0.71,0.76
0101,1915,0.07,-0.13,-1.17,-2.68,-0.07,-0.59,0.52,1.21,0.1,0.33,0.99,0.33
0101,1916,0.38,-0.53,-1.48,-0.73,0.45,0.56,3.09,-0.19,-1.52,-0.65,-0.92,0.25
0101,1917,0.57,-0.01,1.77,-0.13,-0.49,0.61,0.86,-0.87,0.13,-0.49,-1.64,-2
0101,1918,0.77,-1.21,-3.04,0.9,-0.18,0.55,-0.71,-1.52,0.13,1.85,-0.1,-0.5
0101,1919,-0.06,-0.43,1.12,-0.8,1.22,0.72,-0.53,1.53,-1.58,1.82,1.11,-0.46
0101,1920,0.29,-0.61,0.81,2.08,0.76,0.77,-0.22,1.13,-0.37,-1.67,-0.38,0.25
0101,1921,-0.79,0.55,-0.5,0.86,-1.36,-0.27,0.22,0.53,0.48,-0.22,0.23,-1.06
0101,1922,0.54,0.14,1.53,0.59,0.63,0.15,-0.41,-0.51,-1.3,-0.91,-1.15,1.07
0101,1923,0.31,0.41,0.46,0.74,1.28,-0.09,-0.01,1.6,-0.88,-0.37,0.46,0.75
0101,1924,0.54,0.16,-0.49,0.92,0.89,0.36,-2.13,-0.56,-0.47,-2.48,-2.37,0.4
0101,1925,0.22,-0.66,-1.42,-1.13,-1.3,-1.21,-0.38,-1,-0.52,1.82,0.73,-1
0101,1926,-0.23,-0.92,-0.75,-1.49,-0.33,0.59,-1.16,1.54,-1.41,0.05,0.9,1.97
0101,1927,-0.66,-0.12,0.45,0.17,0.25,1.1,-0.97,-0.49,-1.38,-0.2,0.87,0.82
0101,1928,-1.23,-1.33,0.2,1.45,0.06,2.3,-0.26,1.19,-0.88,0.86,0.13,-2.07
0101,1929,0.4,0.1,1.54,0.42,0.91,0.08,-0.47,-1.76,1.16,0.8,1.75,-0.75
0101,1930,-1.05,-0.46,-0.09,-2.73,1.4,-2.45,-1.21,-0.71,0.01,-0.15,0.81,-0.88
0101,1931,-1.25,-0.07,-0.49,-0.93,-0.49,-2.04,0,0.3,-1.48,-0.32,-0.01,1.73
0101,1932,1.16,0.86,-0.5,0.51,-1.13,0.78,0.71,0.98,0.51,2.23,-0.28,1.26
0101,1933,-1.1,0.72,-0.09,-0.07,0.86,-1.97,0.52,-0.29,-0.61,-0.8,-0.85,-0.33
0101,1934,-0.73,-0.61,0.69,-0.98,-0.88,1.07,0.31,0.41,0.29,0.1,-0.03,-0.7
0101,1935,-0.01,-0.1,0.91,-0.11,0.62,-0.08,-2.5,-1.11,-0.84,0.92,0.75,-1.34
0101,1936,0.24,-0.09,0.36,0.98,-1.73,-1.71,1.69,-0.94,0.07,0.75,-0.5,0.35
0101,1937,1.99,-0.26,-1.3,0.48,0.08,-0.51,-0.22,0.25,-0.06,1.28,-1.08,-0.56
0101,1938,0.04,-2.22,0.4,0.72,0.15,0.77,0.73,0.83,-1.35,-1.87,0.72,-1.44
0101,1939,0.76,2.12,0.12,0.17,0.59,1.88,-0.62,-0.28,-0.24,-1.37,-1.72,-0.88
0101,1940,-1.11,0.47,0.09,-0.02,-0.68,0.02,1.36,-0.06,-1.31,-0.36,0.58,-0.36
0101,1941,-0.5,-2.28,-0.95,-0.72,-2.25,-0.63,1.01,-0.04,-1.06,0.32,-0.39,-0.53
0101,1942,-1.14,0.06,-0.13,-1.63,-1.58,-0.95,-1.47,1.13,-0.06,-0.19,-1.25,1.09
0101,1943,-2.07,-0.8,0.23,-0.94,-0.76,-0.72,-1.09,-0.8,1.23,-1.36,-1.03,-0.76
0101,1944,-0.92,1.61,1.35,0.23,-0.63,-1.09,-0.96,0.56,0.22,-1.61,-0.64,0.67
0101,1945,-0.2,1.46,0.08,0.2,-0.43,0.12,-0.98,0.16,-0.41,-0.42,0.99,0.23
0101,1946,1.76,1.47,-0.03,-0.46,0.86,0.09,0.66,-0.22,1.17,-0.32,1.07,-0.59
0101,1947,1.68,-1.37,-0.34,0.25,-0.24,0.41,-1.64,-0.09,-0.95,-0.41,1.03,-0.94
0101,1948,-0.49,1.97,1.13,-0.83,-0.03,-0.4,0.15,-1.61,0.38,-1.11,2.92,-0.22
0101,1949,2.45,-0.09,0.21,-0.52,-0.04,1.43,0.41,0.25,0.18,0.67,-1.89,-0.33
0101,1950,2.24,1.02,0.81,-0.94,0.21,0.27,1.66,1.92,0.2,-1.11,0.19,-1.09
0101,1951,0.85,0.57,1.28,0.13,-2.11,0.65,0.08,-1.71,0.73,-0.3,0.84,1.69
0101,1952,0.76,-0.51,0.25,-1.26,-0.55,-2.37,-2.06,1.22,-0.25,-0.22,-0.07,-0.36
0101,1953,0.51,1.29,-0.4,0.83,0.34,-1.54,0.37,-2.43,0.12,-2.02,-2.09,0.44
0101,1954,1.63,-0.5,-1.92,0.34,-0.12,-1.36,-1.42,-1.19,-1.11,-0.36,-0.37,0.75
0101,1955,-0.89,0.9,0.88,0.37,0.68,-0.96,0.61,-1.23,-1.59,-0.31,-0.28,-0.77
0101,1956,-0.9,1.55,-0.84,1.12,-0.74,0.35,-0.6,0.05,-0.86,0.25,-1.12,0.84
0101,1957,1.28,0.76,-1.16,-0.41,-0.37,0.53,-1.28,-0.79,1.46,0.26,2.72,-0.18
0101,1958,-1.08,-0.36,-0.99,1.2,-0.06,-0.1,1.93,-0.52,1.18,-1.33,0.25,-2.98
0101,1959,-0.05,-0.32,-0.59,0.08,0.66,-0.09,-0.13,0.3,-0.16,0.74,-0.18,0.61
0101,1960,0.29,-0.55,0.53,-1.28,-0.39,-0.06,-1.33,0.9,1.08,0.89,-0.19,-0.92
0101,1961,-1.25,1,1,-0.84,0.06,0.74,-0.65,0.06,-0.7,-0.58,0.76,1.74
0101,1962,1.35,1.09,-0.1,0.7,-1.47,0.28,-0.83,-1.1,0.53,-0.25,0.09,-0.88
0101,1963,-0.99,-1.05,1.06,0.7,0.19,0.35,0.48,-1.17,-1.37,-2.44,0.23,-0.14
0101,1964,0.46,-0.06,1.43,1.88,-0.92,-1.41,0.76,0.26,0.53,0.56,0.17,-0.04
0101,1965,-0.63,0.39,1.06,-0.22,-1.27,0.63,0.43,0.32,-0.08,-0.98,-1.71,-2.3
0101,1966,0.23,0.2,-1.86,-0.02,0.81,-1.21,-0.14,0.91,0.9,-0.1,-0.75,0.26
0101,1967,-1.52,-0.03,-2.02,-0.17,1.62,0.01,1.8,1.77,-0.35,0.15,0.23,1.39
0101,1968,0.59,-2.18,0.18,-0.02,0.91,-2.45,-0.12,-0.36,0.41,-0.4,-0.08,-0.03
0101,1969,-0.01,0.75,-0.97,1.06,0.17,-0.66,0.2,0.37,0.2,0.52,-0.28,1.47
0101,1970,-1.4,-0.63,0.42,1.9,-0.45,0.3,-0.87,-0.29,-0.34,1.28,-0.84,-0.3
0101,1971,0.44,1.27,0.03,-0.24,-0.35,-0.44,0.57,0.14,0.53,-0.55,-1.08,0.97
0101,1972,0.98,-1,0.12,-0.59,-0.04,-0.13,0.85,-0.75,1.13,0.48,0.69,0.75
0101,1973,0.66,0.12,2.56,0.4,0.43,0.61,0.53,-1.06,-0.34,0.29,1.49,0.64
0101,1974,2.11,0.58,-0.54,0.04,1.38,0.22,-0.12,0.32,0.61,-0.66,0.43,0.69
0101,1975,0.63,0.25,2.12,-0.69,0.46,0.23,1.08,0.27,1.65,2.06,-0.04,-0.57
